Image Pair,MSE,SSIM,Time,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
264,0.0013769056196129437,0.9100687499612224,0.014294862747192383,-,-,-,-
265,0.0004211226991839058,0.935801802528245,0.014995813369750977,-,-,-,-
266,0.00035059469848562847,0.9320269021168542,0.01185464859008789,-,-,-,-
267,0.00033958914074867937,0.9285875034299756,0.01241612434387207,-,-,-,-
268,0.00023312080378054848,0.9440148341889698,0.011059045791625977,-,-,-,-
269,0.00015691571994905543,0.9617685542055746,0.014948129653930664,-,-,-,-
270,0.00010608546236122797,0.9682181187127077,0.014137983322143555,-,-,-,-
271,0.0002293456391794202,0.953695475738926,0.01403498649597168,-,-,-,-
272,0.0006499056234901904,0.9354491916555686,0.010650873184204102,-,-,-,-
273,0.001510986319878438,0.8921924507937636,0.011754512786865234,-,-,-,-
274,0.0006000617199478756,0.941098685623822,0.014902114868164062,-,-,-,-
275,0.0012779941390797446,0.9172321107850895,0.015254020690917969,-,-,-,-
276,0.00035412826331245224,0.9473998668760214,0.011099815368652344,-,-,-,-
277,0.0003385134658506684,0.9435692442908634,0.010626554489135742,-,-,-,-
278,0.00030429975610179994,0.9435421201652717,0.008517026901245117,-,-,-,-
279,0.0001918079477529833,0.9556547009095607,0.011466026306152344,-,-,-,-
280,0.00013120988699099608,0.9679591695422998,0.011051654815673828,-,-,-,-
281,0.00011183208176840227,0.9737313365484845,0.011109352111816406,-,-,-,-
282,0.00013638610322997413,0.9670474689157348,0.01103353500366211,-,-,-,-
283,0.0003275905945530121,0.9513414742011728,0.010246038436889648,-,-,-,-
