Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
269,0.002151582959156902,0.7713151633775803,0.026042938232421875,-,-,-,-
270,0.0025333376954979653,0.7589131151858199,0.022822141647338867,-,-,-,-
271,0.0030249119651383437,0.7492653775887864,0.023528575897216797,-,-,-,-
272,0.003393521742051379,0.710533597906546,0.024281978607177734,-,-,-,-
273,0.0021237490821533218,0.7774199048393284,0.01869034767150879,-,-,-,-
274,0.002284037984246723,0.7748030415757752,0.020819664001464844,-,-,-,-
275,0.002731741438215707,0.745753746169951,0.019197702407836914,-,-,-,-
276,0.002170927459124942,0.7690269605283783,0.02636885643005371,-,-,-,-
277,0.0018656962781707402,0.7752789165262826,0.026093482971191406,-,-,-,-
278,0.0023878893111515254,0.7427606296379738,0.019316434860229492,-,-,-,-
279,0.0022716679696626347,0.7768747058361757,0.02826666831970215,-,-,-,-
280,0.002522061467383748,0.7526726673389686,0.19483137130737305,-,-,-,-
281,0.002406818819581839,0.7459465067078438,0.024539470672607422,-,-,-,-
282,0.0025557369320356573,0.775180590999462,0.022253751754760742,-,-,-,-
283,0.0018297150412847666,0.794751461325732,0.019587993621826172,-,-,-,-
284,0.00238175285277169,0.7435290007529116,0.02086615562438965,-,-,-,-
285,0.0027289745838537864,0.7470546199291482,0.026006460189819336,-,-,-,-
286,0.002727280030270111,0.7352410825890834,0.01868152618408203,-,-,-,-
287,0.002402134143636362,0.7752900542750037,0.02598285675048828,-,-,-,-
288,0.003057247290691656,0.7278266433665559,0.02021026611328125,-,-,-,-
289,0.003153277093495177,0.7503954758449632,0.019327402114868164,-,-,-,-
290,0.002891567320959728,0.7527176615823408,0.024581432342529297,-,-,-,-
291,0.002402284298098027,0.7867260282372819,0.02002239227294922,-,-,-,-
292,0.0024544847798458375,0.7621069608109445,0.02514791488647461,-,-,-,-
293,0.002765185140841453,0.7472188547601322,0.026691198348999023,-,-,-,-
294,0.0023207611666470856,0.784070392420717,0.02787160873413086,-,-,-,-
295,0.0024773555982434323,0.7612427467625148,0.02665853500366211,-,-,-,-
296,0.00200644595726344,0.7668999566957462,0.020263195037841797,-,-,-,-
297,0.002208649334698265,0.7469394833049913,0.020511627197265625,-,-,-,-
298,0.0020501435833621072,0.7653994496119882,0.018510103225708008,-,-,-,-
299,0.0021815593925919546,0.7540619259071061,0.024397850036621094,-,-,-,-
300,0.0022473483835128744,0.7505200638460902,0.021285057067871094,-,-,-,-
