Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
185,0.7493943613211654,0.0021205897570687545,0.7692756067956011,-,-,-,-,-
186,0.6220161988102809,0.0027695524488805154,0.7628430140182614,-,-,-,-,-
187,0.64457188706983,0.0021755981627444854,0.7872913366777599,-,-,-,-,-
188,0.6782558812261181,0.002510807795265772,0.783718009729782,-,-,-,-,-
189,0.604455836552573,0.0024916544951639826,0.7519722006485164,-,-,-,-,-
190,0.5492647205917899,0.002362461885655461,0.7488465342423283,-,-,-,-,-
191,0.5569966559982855,0.002484526825204725,0.7375875867385222,-,-,-,-,-
192,0.6344147406486215,0.0034395372007472486,0.7181018225413167,-,-,-,-,-
193,0.6007811037920113,0.0027727097533353745,0.7467180886700907,-,-,-,-,-
194,0.6304355159186401,0.0025899094519976035,0.7443626055534583,-,-,-,-,-
195,0.6536340814931665,0.0027887823124437125,0.7349572401634767,-,-,-,-,-
196,0.5938197652501869,0.002174043235046656,0.76566885987049,-,-,-,-,-
197,0.669067481431854,0.0024935508034222547,0.75850842997776,-,-,-,-,-
198,0.6890699681030741,0.0025035970090533746,0.7571357773187893,-,-,-,-,-
199,0.6349090660805217,0.002647884975231681,0.7455576840986957,-,-,-,-,-
200,0.6463786383522228,0.002420947006789061,0.7412661906685615,-,-,-,-,-
201,0.6373531319418163,0.0027822824041578544,0.7507334585634086,-,-,-,-,-
202,0.6328951080871679,0.0023580420163292833,0.7493373486869764,-,-,-,-,-
203,0.6520992465817367,0.0023282427683633125,0.7370160923532663,-,-,-,-,-
204,0.6501992302471731,0.002077384716234694,0.7873031504480714,-,-,-,-,-
205,0.6529443279926809,0.0028874583267028816,0.7403457202584248,-,-,-,-,-
206,0.5370172628036417,0.0027587548137910645,0.7352621031428904,-,-,-,-,-
207,0.5463289378637335,0.002198562097632421,0.7864330672190714,-,-,-,-,-
208,0.6290604945713404,0.002574859164266859,0.7316173334885835,-,-,-,-,-
209,0.6413018018633898,0.003003316196186449,0.712540994347442,-,-,-,-,-
210,0.7329029326074313,0.0022703478623466705,0.7542116872005646,-,-,-,-,-
211,0.5865362270827207,0.0026719437173362928,0.7633326097867522,-,-,-,-,-
212,0.588113385153527,0.0028688351774979045,0.7574122469283913,-,-,-,-,-
213,0.6069584519661345,0.0026947940360685743,0.7543720155408151,-,-,-,-,-
214,0.5813052638400943,0.0027591347822339073,0.7396133601247071,-,-,-,-,-
215,0.7207840362948033,0.002282992758591185,0.7656432421698549,-,-,-,-,-
216,0.6067362148960134,0.002453264317445658,0.7616616441057539,-,-,-,-,-
217,0.6035637502298437,0.0028921595352098704,0.7534591224004289,-,-,-,-,-
218,0.5720507772304116,0.0025415021238006357,0.757450400766856,-,-,-,-,-
219,0.6400765756203691,0.0022649883528770803,0.7723450280562241,-,-,-,-,-
220,0.7105368757021728,0.0023582993278061792,0.772895685394146,-,-,-,-,-
221,0.7591737866640824,0.0022940546921700407,0.7709699861752503,-,-,-,-,-
222,0.6888770914120164,0.0024628194286325567,0.7601958665078309,-,-,-,-,-
223,0.5717301537088738,0.0029766477704398515,0.7485361882899463,-,-,-,-,-
224,0.613084330114795,0.0035015741407521026,0.7160165918143158,-,-,-,-,-
225,0.6320455827696586,0.003456471785287777,0.7353288482675112,-,-,-,-,-
226,0.6605155779662321,0.0023413131628483206,0.7896871447141401,-,-,-,-,-
227,0.6103257465115567,0.0037143954288411623,0.7287319264480882,-,-,-,-,-
228,0.5305930950816484,0.00455709374225138,0.7065438373948185,-,-,-,-,-
229,0.6588070168185357,0.002672250103570839,0.7619095528149499,-,-,-,-,-
230,0.5676086468172244,0.0028960873122820512,0.7480913953008228,-,-,-,-,-
231,0.5381298821293203,0.0022832941055243696,0.7508128236379343,-,-,-,-,-
232,0.5811625428189834,0.0022320472806697466,0.7563774971153095,-,-,-,-,-
233,0.5686629350726263,0.002653846695504332,0.7377093611921968,-,-,-,-,-
234,0.5984540482252839,0.002575900416047894,0.7425138223650188,-,-,-,-,-
235,0.6026013096257276,0.0028784168364628234,0.7573860781526704,-,-,-,-,-
236,0.6606223711194756,0.002744913477990233,0.7589098183986152,-,-,-,-,-
237,0.6500707310409819,0.0023857266845717243,0.7457457858657742,-,-,-,-,-
238,0.658213962770737,0.0021963213600087648,0.766303337539092,-,-,-,-,-
239,0.580217951236233,0.0027621229133172184,0.7430250061342354,-,-,-,-,-
240,0.6442951110140986,0.0023726988234882285,0.7633748819277238,-,-,-,-,-
241,0.5692182762353608,0.002968618501843364,0.7430509573810387,-,-,-,-,-
242,0.576264664879511,0.0031221131955883647,0.7410902137813032,-,-,-,-,-
243,0.5912481589305827,0.003112910997510809,0.7320986155213712,-,-,-,-,-
244,0.689258951295883,0.0029771473923303777,0.7567548655471908,-,-,-,-,-
245,0.6565547753123595,0.00249944146406218,0.7679698907830516,-,-,-,-,-
246,0.5256777742854143,0.003338211971987744,0.7258153423102975,-,-,-,-,-
247,0.7194739237865352,0.0028041580188968257,0.7514478404990814,-,-,-,-,-
248,0.6816106264854445,0.002109498762657876,0.7890162139907161,-,-,-,-,-
249,0.7415040932249138,0.002110040942929044,0.7781350098873725,-,-,-,-,-
250,0.7178726556540866,0.0019757656357999903,0.7781927896449182,-,-,-,-,-
251,0.6936466614322578,0.0022436228544475984,0.759213843894848,-,-,-,-,-
252,0.6231329259015945,0.0025381360196125393,0.7362110374760803,-,-,-,-,-
253,0.5948454147542335,0.0033144605965234795,0.7413230949182134,-,-,-,-,-
254,0.6014962787884243,0.002968541908384026,0.7623929577145228,-,-,-,-,-
255,0.6089918324070801,0.0032302927199201765,0.7267984372150329,-,-,-,-,-
256,0.5942180260321707,0.0028292830609943326,0.7375531139974725,-,-,-,-,-
257,0.6707438979692433,0.0027712640182034082,0.7453282319725157,-,-,-,-,-
258,0.6711518569224575,0.002229669909159604,0.7662431664865114,-,-,-,-,-
259,0.5377321420606178,0.00257449273508706,0.7584041120634872,-,-,-,-,-
260,0.5706509561517372,0.002669163846243272,0.7448794951072472,-,-,-,-,-
261,0.6702256529502335,0.0031977656836831513,0.7429945829548631,-,-,-,-,-
262,0.6154483777508433,0.0028812467499153152,0.7530034777187496,-,-,-,-,-
263,0.6594088891171197,0.002367705260237566,0.7720116732380201,-,-,-,-,-
264,0.679985090586278,0.0022285255044216966,0.752720682426029,-,-,-,-,-
265,0.5646386729559817,0.0023178576373686847,0.7504314051231222,-,-,-,-,-
266,0.6039173393033823,0.0025942292304114525,0.7655392032959192,-,-,-,-,-
267,0.5935853562078158,0.002163685649760379,0.7736334723943453,-,-,-,-,-
268,0.5750549934878657,0.002151582959156902,0.7713151633775803,-,-,-,-,-
269,0.5578167940976715,0.0025333376954979653,0.7589131151858199,-,-,-,-,-
270,0.5964192117457298,0.0030249119651383437,0.7492653775887864,-,-,-,-,-
271,0.6081609349990582,0.003393521742051379,0.710533597906546,-,-,-,-,-
272,0.6849183260690566,0.0021237490821533218,0.7774199048393284,-,-,-,-,-
273,0.6648607643255313,0.002284037984246723,0.7748030415757752,-,-,-,-,-
274,0.6548324118081745,0.002731741438215707,0.745753746169951,-,-,-,-,-
275,0.7053605590691208,0.002170927459124942,0.7690269605283783,-,-,-,-,-
276,0.6701075257455715,0.0018656962781707402,0.7752789165262826,-,-,-,-,-
277,0.6152039509479024,0.0023878893111515254,0.7427606296379738,-,-,-,-,-
278,0.6566252561496119,0.0022716679696626347,0.7768747058361757,-,-,-,-,-
279,0.5995285137062277,0.002522061467383748,0.7526726673389686,-,-,-,-,-
280,0.611795486013141,0.002406818819581839,0.7459465067078438,-,-,-,-,-
281,0.6709748601427997,0.0025557369320356573,0.775180590999462,-,-,-,-,-
282,0.630351695256104,0.0018297150412847666,0.794751461325732,-,-,-,-,-
283,0.6727978405348036,0.00238175285277169,0.7435290007529116,-,-,-,-,-
284,0.6376604635380951,0.0027289745838537864,0.7470546199291482,-,-,-,-,-
285,0.5431696959017398,0.002727280030270111,0.7352410825890834,-,-,-,-,-
286,0.6321751609805814,0.002402134143636362,0.7752900542750037,-,-,-,-,-
287,0.5890711249567211,0.003057247290691656,0.7278266433665559,-,-,-,-,-
288,0.6395595556594387,0.003153277093495177,0.7503954758449632,-,-,-,-,-
289,0.5682363150300124,0.002891567320959728,0.7527176615823408,-,-,-,-,-
290,0.550212490091385,0.002402284298098027,0.7867260282372819,-,-,-,-,-
